Geneid,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000104478,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,1,0,0
ENSMUSG00000101231,0,0,0,0,0,0
ENSMUSG00000102135,0,0,56,50,0,3
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,0
ENSMUSG00000100764,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000100831,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000100480,0,0,0,0,0,0
ENSMUSG00000089037,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0
ENSMUSG00000100025,0,0,0,0,0,0
ENSMUSG00000051285,1092,322,810,445,742,640
ENSMUSG00000098201,0,0,0,0,0,0
ENSMUSG00000103509,119,64,68,64,161,158
ENSMUSG00000048538,0,2,0,64,109,0
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,54,0,0,0,0,0
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000026312,0,0,0,0,0,0
ENSMUSG00000100290,0,0,0,0,0,0
ENSMUSG00000100758,0,0,0,0,0,0
ENSMUSG00000099926,0,0,0,0,0,0
ENSMUSG00000039748,218,102,178,188,13,62
ENSMUSG00000118715,0,0,0,0,0,0
ENSMUSG00000104158,0,0,0,0,0,0
ENSMUSG00000103540,0,0,0,0,0,0
ENSMUSG00000057363,211,529,472,276,394,415
ENSMUSG00000047216,0,0,0,0,0,0
ENSMUSG00000102788,0,0,0,0,0,0
ENSMUSG00000102160,0,0,0,0,0,0
ENSMUSG00000101253,0,0,0,0,0,0
