,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000102135,9.31950855342524,9.31950855342524,9.55492890470531,9.57941074046522,9.31950855342524,9.42096212087048
ENSMUSG00000051285,10.4435898257829,9.94847306653172,10.2663622397332,10.1535632492993,10.3940520932285,10.251076483355
ENSMUSG00000103509,9.64519553130605,9.58798880936497,9.57278050130873,9.60788831893963,9.76890684137676,9.73724383011145
ENSMUSG00000048538,9.31950855342524,9.40719343365974,9.31950855342524,9.60788831893963,9.68263164873669,9.31950855342524
ENSMUSG00000097797,9.55306351852952,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000039748,9.76883978749918,9.65117974680161,9.71769720373959,9.82641237083222,9.48397686517091,9.58457721680155
ENSMUSG00000057363,9.76062597651202,10.1562969313876,10.0163971819476,9.95324066896042,10.073633275442,10.0482981940497
ENSMUSG00000038702,9.61950959730678,9.67338317053789,9.71280723221008,9.58356178279085,9.67039221135382,9.31950855342524
ENSMUSG00000086235,9.31950855342524,9.31950855342524,9.55492890470531,9.41273288801651,9.31950855342524,9.31950855342524
ENSMUSG00000061024,9.49489203344622,9.70120993562488,9.31950855342524,9.59786067647156,9.91359739566203,9.89710827436857
ENSMUSG00000025911,9.31950855342524,9.55941320040167,9.55492890470531,9.66753470450056,9.31950855342524,9.60519698056523
ENSMUSG00000081441,9.49718678710847,9.38622134301218,9.56097547408467,9.57522586633409,9.31950855342524,9.38623946861661
ENSMUSG00000057335,11.4161452587455,11.5482684428455,11.5914643084979,11.4649416349226,11.4642559830076,11.366959037049
ENSMUSG00000103634,9.70341166600378,9.64474147463725,9.31950855342524,9.31950855342524,9.75455353311365,9.56315086426427
ENSMUSG00000104154,9.52674143581051,9.72230961939058,9.57712556918219,9.61186172488411,9.49724271982286,9.63509876630092
ENSMUSG00000025912,9.77117210224041,9.71632920400123,10.0797225112968,9.70950310323049,9.69985489378261,9.52809557169411
ENSMUSG00000045210,10.9158251324109,10.7831666281853,10.8262024176868,10.7395751335348,10.8503220167844,10.8887195542343
ENSMUSG00000041763,11.2262365793592,11.1133527970655,11.1321826676647,11.0711204207611,11.0922600203218,11.389179565335
ENSMUSG00000026504,9.88419438841702,9.89930579368556,9.86630409171789,10.1189661841421,9.84155372738314,9.81437182451108
ENSMUSG00002076339,9.31950855342524,9.31950855342524,9.31950855342524,9.54461482101582,9.31950855342524,9.5322801865192
ENSMUSG00000102475,9.49718678710847,9.53428899869686,9.31950855342524,9.31950855342524,9.5895106728598,9.31950855342524
ENSMUSG00000047343,9.31950855342524,9.72379873136356,9.56986077448059,9.70592511678695,9.74159250899255,9.53433552544952
ENSMUSG00000102211,9.5435576245188,9.49990162366085,9.41383709077514,9.46497640093308,9.31950855342524,9.31950855342524
ENSMUSG00000087082,9.57420953635846,9.45275676682862,9.57568161256197,9.66192534042825,9.61235581405633,9.5363684098046
ENSMUSG00000103251,9.80540000105748,9.64474147463725,9.86220298839022,9.47454286193758,9.31950855342524,9.49444631907654
ENSMUSG00000091844,9.31950855342524,9.31950855342524,9.31950855342524,9.63530947712362,9.62352472730931,9.54430537752031
ENSMUSG00000026483,10.5999124745107,10.3487002184828,10.8125780444184,10.4624875096189,10.6489232862826,10.2355530456029
ENSMUSG00000019699,10.7775462075928,10.8413879861132,10.8219383857232,10.746235868048,10.50566303842,10.5475247004088
ENSMUSG00000104391,9.55461683927678,9.50508981521518,9.47599108233571,9.3909754724351,9.38938745276683,9.69675762261153
ENSMUSG00000102133,9.31950855342524,9.31950855342524,9.52578308723868,9.53522097390995,9.54038722027589,9.31950855342524
ENSMUSG00000102749,9.53700566988991,9.31950855342524,9.31950855342524,9.55807292674613,9.31950855342524,9.31950855342524
ENSMUSG00000103163,9.31950855342524,9.31950855342524,9.5579658880649,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000103646,9.31950855342524,9.65598033988179,9.62564468317749,9.92884630807849,9.72678285794471,9.31950855342524
ENSMUSG00000102427,9.31950855342524,9.31950855342524,9.59973015885095,9.58768177465778,9.71845051450392,9.5051260133417
ENSMUSG00000063659,10.4694381571022,10.9982941296816,10.5397363362299,10.8327182990354,10.8570649955415,10.8404726385489
ENSMUSG00000103043,9.31950855342524,9.31950855342524,9.48940334561807,9.53760898179315,9.31950855342524,9.31950855342524
ENSMUSG00000026049,9.54676470734559,9.6479660262215,9.63099859643393,9.68783242219962,9.31950855342524,9.56315086426427
ENSMUSG00000043019,10.8134540056001,10.5046068333707,10.4540743592572,10.7498521008023,10.4561315728713,10.4056649149194
ENSMUSG00000032666,9.70215508293484,10.1914244805164,9.96811163998448,10.0224213803199,9.43546753048568,9.88121894422327
ENSMUSG00000015961,10.9748054643331,10.6654573159697,10.9623323685806,10.7771899179796,10.9233402096673,10.7530883114849
ENSMUSG00000089657,9.31950855342524,9.31950855342524,9.50504212038896,9.42690090066151,9.59721006908883,9.31950855342524
ENSMUSG00000014980,9.6571197844783,9.31950855342524,9.5579658880649,9.61186172488411,9.74647527414017,9.64160716034249
ENSMUSG00000026235,9.56227352312957,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000026047,9.5499320609284,9.67338317053789,9.67658771459498,9.6768130137944,9.47632804728348,9.70742252861203
ENSMUSG00000091476,9.80540000105748,9.5914504524232,10.0248884391978,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000041684,9.73307767838404,9.83794056361703,9.7512163122658,9.31950855342524,9.75455353311365,9.88859092620448
ENSMUSG00000032908,9.38102076735453,9.5810029048728,9.48940334561807,9.55807292674613,9.31950855342524,9.55198757416385
ENSMUSG00000026502,10.6052038332043,10.2563949417754,10.3468266295678,10.4331352797413,10.1164791895071,10.2322531453335
ENSMUSG00000026048,9.68566890544932,9.67024189995629,9.79918871251921,9.79299973440884,9.58562453362988,9.73430484478004
ENSMUSG00000026245,10.5779942014191,10.4038845220905,10.4605751813759,10.5114712138497,10.0920957264473,10.3622298343923
ENSMUSG00000104018,9.53364942640645,9.55193337968081,9.31950855342524,9.51477625411323,9.61609563246811,9.5322801865192
ENSMUSG00000026482,10.1763905656543,10.2958819334331,9.7891369579178,10.3196511718411,10.3546994383894,10.3446429239999
ENSMUSG00000008475,11.7840303807355,11.6991795047589,11.7221060458913,11.548537329684,11.784453623533,11.7257789286438
ENSMUSG00000039630,12.1691886042756,11.9900972570101,11.971992433192,12.0407433660664,12.0751996755694,12.1932242799872
ENSMUSG00000026495,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.57776997337469,9.31950855342524
ENSMUSG00000032883,9.99778153294099,9.79795937415478,9.95352695735191,10.0025078642629,10.2931850771036,9.9441512256824
ENSMUSG00000026480,11.126941810464,11.3858967278828,11.3188944219477,11.5305591685862,11.4923143281662,11.349277682099
ENSMUSG00000026494,9.5435576245188,9.31950855342524,9.31950855342524,9.31950855342524,9.55333710464872,9.31950855342524
ENSMUSG00000025915,10.4159774971152,10.4904963924022,10.4326765944452,10.6537019799549,10.5330882827062,10.4222885724864
ENSMUSG00000079470,10.2284557068195,10.0223896917418,10.1410266664198,10.3070562521047,10.3604111368393,10.177846496254
ENSMUSG00002075801,9.31950855342524,9.31950855342524,9.31950855342524,9.62170977702888,9.31950855342524,9.59496888203924
ENSMUSG00000055067,9.81096983980173,9.82085409832706,9.70418841891419,9.73591051084629,9.65799823831903,9.69060999829063
ENSMUSG00000054702,9.65316138972727,10.0570712084522,10.1816077909507,9.69872869409784,9.63089024433595,10.0247337572088
ENSMUSG00000102235,9.69204294809218,9.52805147591151,9.44990414036261,9.31950855342524,9.55959636487577,9.57931001410532
ENSMUSG00000026492,9.88012436825263,9.66866749073851,9.61755134928643,9.99872156252559,10.069232359729,9.9209662040086
ENSMUSG00000038949,9.77928488302399,9.83533501834512,9.84243576331468,9.53760898179315,9.75776396191911,9.90073156783759
ENSMUSG00000046101,9.62224867365621,9.31950855342524,9.31950855342524,9.56243245504995,9.31950855342524,9.31950855342524
ENSMUSG00000099032,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.58562453362988,9.31950855342524
ENSMUSG00000038936,9.62497899651899,9.5810029048728,9.31950855342524,9.54917299364289,9.82250260268004,9.56679492752925
ENSMUSG00000042772,10.8086796598738,10.926680518547,10.7832108654653,10.6917847958923,10.4174556853772,10.6735826066453
ENSMUSG00000100394,9.55770052384723,9.31950855342524,9.56097547408467,9.63915777678537,9.31950855342524,9.31950855342524
ENSMUSG00000104476,9.55923155775652,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000073643,10.1181710514868,10.1940066739503,9.99915648683591,9.7513942376372,10.2369077238275,10.0633277913549
ENSMUSG00000026248,9.31950855342524,9.52805147591151,9.6363208126762,9.31950855342524,9.31950855342524,9.5403731019122
ENSMUSG00000026249,9.6014741008345,9.31950855342524,9.31950855342524,9.44609771019191,9.31950855342524,9.31950855342524
ENSMUSG00000026491,10.6364234464192,10.5428021967784,10.3468266295678,10.7025163315011,10.591887388304,10.7742185772854
ENSMUSG00000025917,9.96530725051813,9.75307899291783,9.89246980737397,9.81225845776595,9.94737405022585,9.89346885056645
ENSMUSG00000026479,9.31950855342524,9.31950855342524,9.54562626326505,9.31950855342524,9.31950855342524,9.52380074498062
ENSMUSG00000004364,10.7581035184964,10.5850431986894,10.7443310882026,10.5845569972003,10.8831343162848,10.7336154046272
ENSMUSG00000103076,9.59724902753402,9.67338317053789,9.6363208126762,9.83417119209711,9.74485067115286,9.31950855342524
ENSMUSG00000103525,9.31950855342524,9.43130241094546,9.51861801936997,9.31950855342524,9.61981839440247,9.31950855342524
ENSMUSG00000026478,10.4256359858675,10.5185370612523,10.3438225415909,10.3608460158214,10.4236131715834,10.5627437926378
ENSMUSG00000103818,9.31950855342524,9.31950855342524,9.31950855342524,9.59583776970165,9.31950855342524,9.31950855342524
ENSMUSG00000079138,9.5499320609284,9.31950855342524,9.54562626326505,9.56674094909179,9.31950855342524,9.31950855342524
ENSMUSG00000042708,9.31950855342524,9.31950855342524,9.31950855342524,9.50323840506537,9.5797445892256,9.52380074498062
ENSMUSG00000042699,11.054616459586,11.0112909869563,10.8934018581918,11.0846516840993,10.9859676507115,10.850289260669
ENSMUSG00000042684,9.45940187995771,9.58798880936497,9.6011163008029,9.31950855342524,9.71173062783634,9.31950855342524
ENSMUSG00000099858,9.55923155775652,9.31950855342524,9.41383709077514,9.31950855342524,9.43546753048568,9.42096212087048
ENSMUSG00000025986,10.4683505661303,10.5956453364739,10.4551605114505,10.3762047759908,10.0502773301631,10.1421676585571
ENSMUSG00000100213,9.31950855342524,9.51707474055634,9.31950855342524,9.41273288801651,9.49412207441204,9.5363684098046
ENSMUSG00000100033,9.31950855342524,9.38622134301218,9.38064074088303,9.31950855342524,9.38938745276683,9.5649771625017
ENSMUSG00000056763,10.3905762796466,10.1363927255664,10.1586371135429,10.2924685648555,10.0867055107235,10.051324964997
ENSMUSG00000026475,9.54030635223189,9.55941320040167,9.56395988587821,9.47880530333215,9.60482204718669,9.38623946861661
ENSMUSG00000066800,9.79301248252257,10.0826894054774,9.76172696657164,10.1535632492993,9.86299679598729,9.82765930470766
ENSMUSG00000067851,11.1968824443204,11.1440739103747,10.9571752366602,11.2409319956659,11.1393984092819,11.1042274503398
ENSMUSG00000102556,9.31950855342524,9.66075732869141,9.31950855342524,9.53760898179315,9.31950855342524,9.31950855342524
ENSMUSG00000038608,12.1319945336811,12.2190722712261,12.3313486637123,11.7367275062788,11.7885169743555,11.7236537089266
ENSMUSG00000103192,9.88520872850528,9.71031038458866,9.68039775593012,9.71306764075264,9.84876429125375,9.82634021562939
ENSMUSG00000104488,10.0467839607467,10.1445876820958,9.70665891970506,10.1950603836332,9.89887857567407,9.82104249628719
ENSMUSG00000102721,9.93914644743123,10.1562969313876,9.93304517334169,9.87923512508868,9.80299793480778,9.31950855342524
ENSMUSG00000100648,9.31950855342524,9.31950855342524,9.31950855342524,9.59177309151129,9.31950855342524,9.31950855342524
ENSMUSG00000026107,10.2393500531818,10.3523719068589,10.2136734588784,10.4103897217746,10.5958277930166,10.3852340610201
ENSMUSG00000026473,12.4701027947457,11.9155928239105,12.8121829432178,12.5218001192031,12.3272633549583,12.3696478512127
ENSMUSG00000101903,9.31950855342524,9.31950855342524,9.49415961508976,9.31950855342524,9.55752330748255,9.31950855342524
ENSMUSG00000067158,9.31950855342524,9.31950855342524,9.31950855342524,9.74797673829283,9.58757081801313,9.31950855342524
ENSMUSG00000079465,9.31950855342524,9.31950855342524,9.31950855342524,9.59583776970165,9.31950855342524,9.31950855342524
ENSMUSG00000101880,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.57776997337469,9.31950855342524
ENSMUSG00000056708,10.0417555763733,9.97860482904268,9.7823677188912,10.0012476434947,10.3078431602829,9.84976385759992
ENSMUSG00000026471,9.72083136135547,9.79385237043837,9.56097547408467,9.58356178279085,9.73009482664766,9.5983950990804
ENSMUSG00000026470,9.93629388841629,10.3472279364677,9.89839074941413,10.1807451902621,10.2533171152164,9.98540704739211
ENSMUSG00000104181,9.48501892637622,9.31950855342524,9.31950855342524,9.3909754724351,9.31950855342524,9.5403731019122
ENSMUSG00000026150,10.6856586440273,10.3698201991465,10.2957918494508,10.4963985140396,10.2966531747896,10.6152595309187
ENSMUSG00000101450,9.58871674447938,9.65438278484692,9.53922962019941,9.67311219672779,9.58367157772101,9.47524311210239
ENSMUSG00000026149,9.56075579647897,9.74584844901961,9.49866495663261,9.31950855342524,9.51149525988378,9.31950855342524
ENSMUSG00000026469,11.9667001112405,12.2409615248905,12.4161000892723,12.1178066133374,12.039127861096,12.047713779213
ENSMUSG00000018417,9.86050930666512,9.90531571902187,9.75356306460752,9.75987972739,9.88251364867851,9.56315086426427
ENSMUSG00000101724,9.31950855342524,9.58798880936497,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000026490,9.61262205774354,9.65438278484692,9.67785937225309,9.66192534042825,9.67390478453876,9.8394362604113
ENSMUSG00000033701,9.61950959730678,9.81819345708449,9.76635741885182,9.88215260681245,9.31950855342524,9.82897626971213
ENSMUSG00000033684,9.6571197844783,9.62515585169725,9.77325618307886,9.71306764075264,9.53590559728413,9.78157960681113
ENSMUSG00000033671,11.6748336379295,11.6095568263579,11.4605378700017,11.4275170207701,11.5476944776382,11.5237438899198
ENSMUSG00000103717,9.31950855342524,9.31950855342524,9.56986077448059,9.31950855342524,9.31950855342524,9.31950855342524
ENSMUSG00000102837,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.62721518240117,9.31950855342524
ENSMUSG00000026489,9.75114155505326,9.58275765440762,9.60525861126608,9.31950855342524,9.31950855342524,9.61528470720884
ENSMUSG00000026159,10.5172918397635,10.622851719626,10.7771621175423,10.5866545773828,10.3972017616267,10.6459313789557
ENSMUSG00000026466,10.8912766258566,10.7434360878453,10.8292933302388,10.7748393709933,10.8186630885324,10.6515179107482
ENSMUSG00000102964,9.81207929891673,9.8797715263268,9.72619345820154,9.31950855342524,9.58562453362988,9.70742252861203
ENSMUSG00000010609,9.82090142846367,10.2491170822035,10.2605010995567,10.3373804585177,10.0856235206016,10.1734610262014
ENSMUSG00000038855,10.9423360541033,11.0273355663336,11.2050685002775,11.1208714960222,11.100665214589,11.0334306003161
ENSMUSG00000104388,10.2188212960264,10.264418804102,10.1564541581021,10.0285502892772,10.1613693613887,10.3600474604206
ENSMUSG00000103123,9.75708150233182,9.80881271124314,9.69798414902657,9.60389397491449,9.61235581405633,9.67035859883532
ENSMUSG00000103772,9.99156452031547,9.92308552265731,9.83290239603022,9.78811426885498,9.79690241597306,9.81034325364098
ENSMUSG00000053963,9.55306351852952,9.52805147591151,9.51105193521807,9.41273288801651,9.31950855342524,9.38623946861661
ENSMUSG00000104210,9.31950855342524,9.31950855342524,9.31950855342524,9.31950855342524,9.48750848664764,9.56679492752925
ENSMUSG00000102608,9.31950855342524,9.31950855342524,9.31950855342524,9.54690402533668,9.55333710464872,9.31950855342524
ENSMUSG00000045658,11.9935561274625,11.748990666344,12.3728223587811,11.8414674281552,12.0939104100264,12.0608750609799
ENSMUSG00000050565,10.9799576507354,11.0525576911272,11.0415431000028,10.844384079844,10.9583968313822,10.7227044365217
ENSMUSG00000102750,10.2933618961277,9.80475941583528,10.0813075810505,10.0050226996394,10.3757608674671,10.2421193844718
ENSMUSG00000101934,9.80763245838372,9.54812190582847,9.82109738998661,9.31950855342524,9.31950855342524,9.78713570621728
ENSMUSG00000098851,9.65316138972727,9.53223447383133,9.5326325992478,9.72368075489401,9.63089024433595,9.63673015405646
ENSMUSG00000101179,9.51189548839361,9.38622134301218,9.45881815060901,9.45947301752435,9.31950855342524,9.4822330345511
ENSMUSG00000036766,9.31950855342524,9.56673359077266,9.62832568054919,9.60788831893963,9.77520927364582,9.54624727367654
ENSMUSG00000104396,9.31950855342524,9.31950855342524,9.53922962019941,9.31950855342524,9.31950855342524,9.6528899327132
ENSMUSG00000102481,9.31950855342524,9.31950855342524,9.31950855342524,9.58356178279085,9.57776997337469,9.31950855342524
ENSMUSG00000005886,10.7763153442956,10.8017812487926,10.8709498859933,10.681587578782,10.7225622392352,10.4042681605705
ENSMUSG00000004451,10.0891898436689,10.2076606454168,10.141767226492,10.2711212484368,10.3390378291754,9.93379852970981
ENSMUSG00000103506,9.67925301189732,9.68894044831138,9.77554333063958,9.56243245504995,9.60102635103375,9.6766344560283
ENSMUSG00000103495,9.31950855342524,9.31950855342524,9.31950855342524,9.57522586633409,9.53590559728413,9.58806109872363
ENSMUSG00000098923,9.69204294809218,9.76594394926655,9.70665891970506,9.61581517590323,9.63089024433595,10.0309434578233
