"","Comparison","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSMUSG00000026032","S2_vs_S1",47.6365561384104,-9.05766866605931,1.87377292757436,-4.83392012594859,1.33870317137512e-06,0.00204737916272183,"Ndufb3","DOWN"
"ENSMUSG00000016494","S2_vs_S1",26.6912915947103,-7.97570490228221,2.29335108665904,-3.47775137818136,0.000505638683181924,0.0475883791440834,"Cd34","DOWN"
"ENSMUSG00000073616","S2_vs_S1",53.1179346850092,8.8001074099069,1.8652415344963,4.71794523505684,2.38238601223791e-06,0.00305443006576139,"Cops9","UP"
"ENSMUSG00000026429","S2_vs_S1",62.8140381325995,3.82506868691716,1.02632575375128,3.72695381845024,0.000193807952614803,0.0292631709831882,"Ube2t","UP"
"ENSMUSG00000026078","S2_vs_S1",158.348848768707,-1.87793280331767,0.46222815891215,-4.06278321021672,4.84910604391818e-05,0.0127740798870845,"Pdcl3","DOWN"
"ENSMUSG00000033793","S2_vs_S1",828.474750755582,-0.718255568561458,0.200826893952261,-3.57649094912655,0.000348237367816196,0.0399500632674837,"Atp6v1h","DOWN"
"ENSMUSG00000103928","S2_vs_S1",50.4635220766641,4.76394746036521,1.3650702669447,3.48989174823057,0.000483216243156698,0.046921831230335,NA,"UP"
"ENSMUSG00000033021","S2_vs_S1",177.145458079758,1.66010193971339,0.460624567903042,3.60402387408661,0.000313328256750582,0.03795615070637,"Gmppa","UP"
"ENSMUSG00000014873","S2_vs_S1",76.284215530784,3.6769901217413,0.780939633329071,4.70841786588118,2.49646919964151e-06,0.00305443006576139,"Surf2","UP"
"ENSMUSG00000000876","S2_vs_S1",74.2638265109473,-5.51476182831956,1.18337664554534,-4.66019153671753,3.15915269812258e-06,0.00346311783315116,"Pxmp4","DOWN"
"ENSMUSG00000027628","S2_vs_S1",150.930857946595,-2.04359775785636,0.530532961444359,-3.85197133141874,0.000117170743189349,0.0220551391218721,"Aar2","DOWN"
"ENSMUSG00000027496","S2_vs_S1",143.564505263743,-3.47477277372794,0.616978024103388,-5.63192307988212,1.78211169167818e-08,0.000218041365476825,"Aurka","DOWN"
"ENSMUSG00000040321","S2_vs_S1",98.5056585464501,2.65897158254851,0.656142076117003,4.05243266562646,5.06878148482481e-05,0.0127740798870845,"Zfp770","UP"
"ENSMUSG00000027305","S2_vs_S1",63.6990250953013,-8.62607796681769,1.69640902660009,-5.08490454339653,3.67811007223158e-07,0.00185675321274602,"Ndufaf1","DOWN"
"ENSMUSG00000026970","S2_vs_S1",1325.85511166118,0.64615537217718,0.180813567215873,3.57360004631587,0.000352106621794154,0.0399500632674837,"Rbms1","UP"
"ENSMUSG00000037514","S2_vs_S1",356.058676468107,-1.25323283707488,0.35498032029061,-3.53042905603586,0.000414886263775564,0.0423011119774502,"Pank2","DOWN"
"ENSMUSG00000027652","S2_vs_S1",1073.103018237,-0.767534902845837,0.191410211618217,-4.00989527338671,6.07456842168365e-05,0.0140230838942075,"Ralgapb","DOWN"
"ENSMUSG00000027475","S2_vs_S1",422.314327798888,-1.11513070782499,0.295501545477136,-3.77368824255868,0.000160851746795524,0.0268943565238924,"Kif3b","DOWN"
"ENSMUSG00000084213","S2_vs_S1",34.5176823199719,7.26460539035398,2.06283109409215,3.521667581587,0.000428841521397537,0.0430071804450727,NA,"UP"
"ENSMUSG00000027285","S2_vs_S1",131.54010262655,2.23445076225417,0.52290343128067,4.27316140722516,1.92720844495027e-05,0.00813082597378155,"Haus2","UP"
"ENSMUSG00000074656","S2_vs_S1",523.263237321574,1.21141281577865,0.248253980490072,4.87973169005078,1.06230261456659e-06,0.00185675321274602,"Eif2s2","UP"
"ENSMUSG00000106099","S2_vs_S1",162.274167166377,-2.26807067500277,0.527601968577688,-4.29882906069712,1.71702832488163e-05,0.00750280055533097,NA,"DOWN"
"ENSMUSG00000028085","S2_vs_S1",51.5031333906898,-8.98333153613584,1.82373560848434,-4.92578611414056,8.40218663452788e-07,0.00185675321274602,"Gatb","DOWN"
"ENSMUSG00000074604","S2_vs_S1",39.7637859177823,-8.36311642464324,1.99663702692153,-4.1886012890073,2.80679031043364e-05,0.0106564793554418,"Mgst2","DOWN"
"ENSMUSG00000004233","S2_vs_S1",69.5237829667,-6.598771634044,1.35067743007005,-4.88552743026272,1.03152342916553e-06,0.00185675321274602,"Wars2","DOWN"
"ENSMUSG00000058135","S2_vs_S1",726.54919559555,0.908293549719819,0.240176928859461,3.78176852386728,0.00015571812789879,0.0268339618991788,"Gstm1","UP"
"ENSMUSG00000105597","S2_vs_S1",30.5928981119206,-7.58319321014357,2.15921988996408,-3.51200600058835,0.0004447379573943,0.0442387716156037,NA,"DOWN"
"ENSMUSG00000121347","S2_vs_S1",34.3062935142591,-8.16596829548784,2.17470835029487,-3.754971692816,0.000173361070253323,0.0271932396737103,"Gm2011","DOWN"
"ENSMUSG00000089417","S2_vs_S1",1621.85448163664,0.922455313977403,0.204611473414338,4.5083264324549,6.53409910594197e-06,0.00444137236451111,"Gm22009","UP"
"ENSMUSG00000040455","S2_vs_S1",319.774663770024,-1.51118236048274,0.349111736006919,-4.32864955434436,1.50026439322641e-05,0.00705989801966349,"Usp45","DOWN"
"ENSMUSG00000006442","S2_vs_S1",59.7766659197148,-5.84738706536052,1.56019157475825,-3.74786478786528,0.000178346346768537,0.0276211082621905,"Srm","DOWN"
"ENSMUSG00000082686","S2_vs_S1",38.2882036996787,7.67903443262639,1.92448117562361,3.99018422725702,6.60219939380371e-05,0.0144246267112836,"Gm12961","UP"
"ENSMUSG00000006398","S2_vs_S1",77.5976350295041,-4.1693645512094,1.15980914781347,-3.59487124159151,0.00032455204906722,0.0389303364738965,"Cdc20","DOWN"
