,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000102135,8.51544999843199,8.51544999843199,8.6457485598209,8.67030023975849,8.51544999843199,8.5310341879883
ENSMUSG00000051285,9.50510061569934,9.04675889625838,9.35213455789714,9.24350248032387,9.46640185442257,9.3347794321302
ENSMUSG00000103509,8.77271573958594,8.67906491172021,8.66383327447395,8.69894051753084,8.86372795708269,8.87693348766089
ENSMUSG00000048538,8.51544999843199,8.53101839522423,8.51544999843199,8.69894051753084,8.77631328959711,8.51544999843199
ENSMUSG00000039748,8.89242141327502,8.74284055245449,8.83059131341553,8.91981463875964,8.58038159591234,8.67921799744632
ENSMUSG00000057363,8.88105705745948,9.25985077937154,9.10625627318884,9.06738735831865,9.18197977701282,9.12784611959174
ENSMUSG00000038702,8.71076020557003,8.76544888706568,8.80594425112853,8.67448445603769,8.76207335002026,8.51544999843199
ENSMUSG00000061024,8.58701725595581,8.79696512149573,8.51544999843199,8.69492621795397,9.0067682033263,9.02268314880308
ENSMUSG00000025911,8.51544999843199,8.68601231949885,8.6457485598209,8.82009592925846,8.51544999843199,8.7592794124058
ENSMUSG00000081441,8.59516395011127,8.53101839522423,8.65187603023146,8.66607722170717,8.51544999843199,8.51544999843199
ENSMUSG00000057335,10.5454471299401,10.7066538342456,10.7441194552621,10.619977795658,10.6210302437281,10.4773631066552
ENSMUSG00000103634,8.79606706235044,8.73630379057637,8.51544999843199,8.51544999843199,8.90084164450113,8.65404037831981
ENSMUSG00000104154,8.61733172746252,8.81537832645081,8.67545844112902,8.70293570664145,8.6308292746882,8.72664179576624
ENSMUSG00000025912,8.86482808065498,8.80928489264574,9.16724919021611,8.80208578502589,8.79384513296877,8.63100422717656
ENSMUSG00000045210,9.98186336599495,9.83866943910152,9.88784413300343,9.79908739056892,9.90686674280447,9.94936167844893
ENSMUSG00000041763,10.3335655393182,10.1989263886286,10.222562493261,10.1394470026442,10.1942884619568,10.5284831809818
ENSMUSG00000026504,9.00840762145229,9.00380649357229,8.99636059128956,9.23368950450578,8.93605816730836,8.91500312300994
ENSMUSG00002076339,8.51544999843199,8.51544999843199,8.51544999843199,8.70691339632852,8.51544999843199,8.68617298445554
ENSMUSG00000102475,8.63086861496431,8.62688175415981,8.51544999843199,8.51544999843199,8.6803961215953,8.51544999843199
ENSMUSG00000047343,8.51544999843199,8.83338385594202,8.70623087045372,8.82009592925846,8.83455430933599,8.62698152365417
ENSMUSG00000087082,8.69401804493518,8.57588004536081,8.66676807579288,8.75357701188502,8.70710457462145,8.69305075641837
ENSMUSG00000103251,8.89915120381971,8.73957644015382,8.95694472159507,8.576350768718,8.51544999843199,8.59166864101465
ENSMUSG00000091844,8.51544999843199,8.51544999843199,8.51544999843199,8.72657791301701,8.71458390266261,8.63496706755927
ENSMUSG00000026483,9.65689810346274,9.41815278362354,9.87924428975067,9.52468581325452,9.70429379821036,9.31222285364427
ENSMUSG00000019699,9.86772279438399,9.89968839233366,9.88315941388286,9.83817866671058,9.58138402491353,9.65302535614388
ENSMUSG00000104391,8.64688138975712,8.64261748764585,8.57313483135168,8.53304627049137,8.53233995933291,8.79102314221238
ENSMUSG00000102133,8.51544999843199,8.51544999843199,8.61647308585783,8.62570056911586,8.6308292746882,8.51544999843199
ENSMUSG00000103646,8.51544999843199,8.74934322652128,8.7198519527024,9.02329414655228,8.85413365348374,8.51544999843199
ENSMUSG00000102427,8.51544999843199,8.51544999843199,8.70073012160842,8.67863246314897,8.82791157464338,8.59650080328348
ENSMUSG00000063659,9.5526177495658,10.0646807257203,9.60870337116302,9.89206978948532,9.9089748365986,9.90832158365365
ENSMUSG00000026049,8.63737771036612,8.73957644015382,8.79334298988364,8.79843752809939,8.51544999843199,8.65404037831981
ENSMUSG00000043019,9.8669220594329,9.57110952449734,9.52042611469137,9.82997787631766,9.51675230473489,9.47377801228481
ENSMUSG00000032666,8.79606706235044,9.27109413069708,9.06053796459888,9.11350264007707,8.54327626999159,8.98057912129294
ENSMUSG00000015961,10.0447110904965,9.72092612159295,10.0458233605814,9.85905265072273,10.0169211325677,9.82475815114168
ENSMUSG00000014980,8.7488479148772,8.51544999843199,8.64882591774369,8.70293570664145,8.84440937734479,8.7365235360743
ENSMUSG00000026047,8.64057794192265,8.77182885192308,8.78569878793975,8.76874001761291,8.60240054378197,8.80035318245554
ENSMUSG00000091476,8.93608979575462,8.68254930236263,9.15059427374726,8.51544999843199,8.51544999843199,8.51544999843199
ENSMUSG00000041684,8.82628984080109,8.93286710452998,8.84501083193847,8.51544999843199,8.84766531009029,8.98298321492526
ENSMUSG00000032908,8.52894666924544,8.67202319282297,8.58217107228942,8.64873396058856,8.51544999843199,8.6427327892021
ENSMUSG00000026502,9.67458565759462,9.3311427775377,9.43658464689895,9.49773122102967,9.23045747523554,9.31069925451828
ENSMUSG00000026048,8.79606706235044,8.76224532865091,8.89331240539962,8.93512842048164,8.67648778441633,8.82774735189763
ENSMUSG00000026245,9.6828819288422,9.53052213377164,9.55185610828947,9.5712530980249,9.20759316385435,9.47115753846455
ENSMUSG00000104018,8.62419589024782,8.64261748764585,8.51544999843199,8.60558765881519,8.70710457462145,8.62289311554451
ENSMUSG00000026482,9.29043116485686,9.38336016749321,8.88885357405298,9.39510270413837,9.45014131011138,9.41750255623328
ENSMUSG00000008475,10.9750953399618,10.8714325739405,10.9031572076263,10.6762289984649,10.9693647202515,10.9006866102017
ENSMUSG00000039630,11.4514921303512,11.2353454530365,11.2242967833341,11.2967892657706,11.3452160537642,11.4680926286603
