Gene Name,C_albicans,C_auris,C_dubliniensis,C_tropicalis,C_parapsilosis,C_glabrata,C_lusitaniae,S_cerevisiae
Mnn4,orf19.2881,B9J08_002229,Cd36_46020,CTRG_03822,,,CLUG_03815,
Mnt3,orf19.1010,B9J08_003091,Cd36_30630,CTRG_00566,CPAR2_203110,,CLUG_03815,
Mnt5,orf19.4494,B9J08_003123,Cd36_19160,CTRG1_01604,CPAR2_103930,CAGL0I04378g,CLUG_02613,YKR061W
Mnn41,orf19.849,B9J08_001483,Cd36_18400,CTRG1_01208,CPAR2_212130,CAGL0H09130g,CLUG_04884,YKL201C
Mnn42,orf19.851,B9J08_000139,Cd36_18380,CTRG1_01210,CPAR2_207770,,CLUG_03086,
Mnn46,orf19.3110,,Cd36_46460,CTRG1_03754,CPAR2_500890,,,
Mnn47,orf19.4771,B9J08_002246,Cd36_08600,CTRG1_04127,CPAR2_208140,,CLUG_05859,
